Surat Tanda Berizin/Terdaftar,Nama Platform,Website,Nama Perusahaan,Tanggal,Jenis,Badan Hukum,Syariah,Alamat
S-1862/NB.111/2017,Koinworks,"https://koinworks.com",PT Lunaria Annua Teknologi,5/4/2017,Terdaftar,PT,Konvensional,"Jalan Sungai Gerong No 1-1A Lantai 5, Jakarta Pusat 10230. \nTelp. (021) 304 822 80"
S-2491/NB.111/2017,Amartha,"https://amartha.com",PT Amartha Mikro Fintek,5/31/2017,Terdaftar,PT,Konvensional,"Jl Kemang Selatan VIII No. 18 Jakarta Selatan 12730. \nTelp : (021) 227 153 53"
S-2492/NB.111/2017,Investree,"https://www.investree.id",PT Investree Radhika Jaya,5/31/2017,Terdaftar,PT,Konvensional,"Wisma Barito Lt.9, Tower B Jalan Letjen S. Parman Kav. 62-63, Jakarta, 11410.\nTelp. (021) 530 7939"
S-2493/NB.111/2017,Modalku,"https://modalku.co.id",PT Mitrausaha Indonesia Grup,5/31/2017,Terdaftar,PT,Konvensional,"Unifam Tower \nJl. Panjang Blok X No.1, Kedoya Utara, Kebon Jeruk\nJakarta Barat 11520. Telp. (021)-2258 5350"
S-2537/NB.111/2017,Danacepat,"http://www.pendanaan.com",PT Pendanaan Teknologi Nusa,6/2/2017,Terdaftar,PT,Konvensional,"Equity Tower B1 SCBD Lot 9, Jl. Jend Sudirman kav 52-53, Senayan, Kebayoran Baru, Jakarta Selatan 12190\nTelp. (021) 255 557 00"
S-2538/NB.111/2017,AwanTunai,"https://www.awantunai.com",PT Simplefi Teknologi Indonesia,6/2/2017,Terdaftar,PT,Konvensional,"Office 8 Level-18A\nJl. Jend. Sudirman Kav 52-53, \nKawasan SCBD (virtual office); \nTelp. (021) 279 33 260"
S-2793/NB.111/2017,KlikACC,"https://klikacc.com",PT Aman Cermat Cepat,6/15/2017,Terdaftar,PT,Konvensional,"Rukan Puri Niaga, Jl. Puri Kencana J1/3c\nJakarta Barat \nTelp : (021) 5830-4186 / 5830-4187 / 5830-4188 ,+62 858 1397 1953"
S-2842/NB.111/2017,CROWDO,"https://crowdo.co.id",PT Mediator Komunitas Indonesia,6/16/2017,Terdaftar,PT,Konvensional,"Menara Topas 15th Floor - Jl. MH. Thamrin 9 Gondangdia, Menteng Jakarta Pusat -\nTelp. (021) 390 2566 / 223 933 96"
S-2970/NB.111/2017,UangTeman,"https://uangteman.com",PT Digital Alpha Indonesia,6/21/2017,Terdaftar,PT,Konvensional,"Gedung EightyEight@Kasablanka Tower A Lt. 3 Unit C, Jl. Casablanca Kav. 88, Kel. Menteng Dalam, Kec. Tebet, Jakarta Selatan 12870. \nTelp. (021) 228 360 25"
S-2983/NB.111/2017,Akseleran,"https://www.akseleran.com",PT Akseleran Keuangan Inklusif Indonesia,6/21/2017,Terdaftar,PT,Konvensional,"Equity Tower Lt 18, Senayan, Kebayoran Baru, Jakarta 12190.\nTelp. (021) 806 405 38"
KEP-49/D.05/2017,Danamas,"https://p2p.danamas.co.id",PT Pasar Dana Pinjaman,7/6/2017,Berizin,PT,Konvensional,"Sinarmas Land Plaza menara 1 Lt.9, Jl. MH. Thamrin no.51, Menteng, Gondangdia, Jakarta Pusat 10350. \nTelp. (021) 392 5660"
S-622/NB.111/2017,Taralite,"https://www.taralite.com",PT Indonusa Bara Sejahtera,7/21/2017,Terdaftar,PT,Konvensional,"Ruko Golden 8, Jl. Panjang I9, Kedoya Utara, Jakarta, RT.5/RW.11, 11520. \nTelp. (021) 292 22 955"
S-644/NB.111/2017,Dompet Kilat,"https://www.dompetkilat.co.id",PT Indo Fin Tek,7/21/2017,Terdaftar,PT,Konvensional,"Indosurya Plaza, Penthouse, Thamrin, Kav 8-9, Jakarta 10230\nTelp. 0877 7766 4888"
S-3460/NB.111/2017,FINTAG,"http://fintag.id",PT Fintegra Homido Indonesia,8/3/2017,Terdaftar,PT,Konvensional,"Multika Building lantai 2 suite214 Jalan Mampang Prapatan Raya No.71-73 Kel. Tegal Parang Kec. Mampang Prapatan, Jakarta Selatan 12790 \nTelp. (021) 797 5118"
S-3739/NB.111/2017,Invoila,"http://invoila.co.id",PT Sol Mitra Fintec,8/14/2017,Terdaftar,PT,Konvensional,"Menara Citicon Lt. 11B, Jl. S. Parman Kav 72, Slipi Jakarta Barat 11410\nTelp. (021) 293 089 89"
S-3972/NB.111/2017,KIMO,"http://kimo.co.id",PT Creative Mobile Adventure,8/23/2017,Terdaftar,PT,Konvensional,"JL BUKIT GADING RAYA, Komp Rukan Gading Bukit Indah TB 6,kelapa Gading, Jakarta 14240  \nTelp: (021) 295 743 96"
S-3973/NB.111/2017,TunaiKita,"https://www.tunaikita.com",PT Digital Tunai Kita,8/24/2017,Terdaftar,PT,Konvensional,"Setiabudi Atrium Lt 8 unit 810 JL HR Rasuna Said Kav 62 Kuningan Jakarta Selatan DKI Jakarta \n(021) 521 00 33"
S-4438/NB.111/2017,Igrow,"https://igrow.asia",PT iGrow Resources Indonesia,9/18/2017,Terdaftar,PT,Konvensional,"Jl. Ir. H. Djuanda No. 43, Depok. \nTelp. (021) 778 400 82"
S-5101/NB.111/2017,Cicil,"https://www.cicil.co.id",PT Cicil Solusi Mitra Teknologi,10/18/2017,Terdaftar,PT,Konvensional,"Plaza Marein Lt 23 Jl. Jend. Sudirman Kav 76 - 78, Jakarta 12910\nTelp. (021) 806 578 08"
S-5292/NB.111/2017,Dana Merdeka,"http://danamerdeka.co.id",PT Intekno Raya,10/18/2017,Terdaftar,PT,Konvensional,"Graha 415 Lt. 3-4, No 47 Jalan Ciputat Raya, Pondok Pinang, Jakarta Selatan , 12310 . \nTelp (021) 759 166 06"
S-5475/NB.111/2017,Cash Wagon,"https://cashwagon.id",PT Kas Wagon Indonesia,11/8/2017,Terdaftar,PT,Konvensional,"Gedung Oleos 2, Jl. Kebagusan 1, Lt. 3 Kav. 6, Pasar Minggu - Jakarta Selatan 12520\nTelp. (021) 806 151 79"
S-5961/NB.111/2017,Esta Kapital,"https://www.estakapital.co.id",PT Esta Kapital Fintek,12/8/2017,Terdaftar,PT,Konvensional,"Wisma D'Esta, Komplek Komersial Blok AH2 No. 7 A Kel. Rawabuntu, kec. Serpong, Tangerang Selatan 15310. \nTelp. (021) 806 345 63"
S-1320/NB.233/2017,Ammana,"https://ammana.id",PT Ammana Fintek Syariah,12/22/2017,Terdaftar,PT,Syariah,"Gedung Mampang Square, B6, 5th Flr Jalan Mampang Prapatan Raya, No. 88, Jakarta Selatan, 12790. \nTelp (021) 227 931 65"
S-6297/NB.111/2017,Gradana,"https://gradana.co.id",PT Gradana Teknoruci Indonesia,12/27/2017,Terdaftar,PT,Konvensional,"Graha Inovasi, Jalan Panjang Raya No.28A, Kebon Jeruk, Jakarta Barat 11510. \nTelp. (021) 533 21 12"
S-7/NB.11/2018,Dana Mapan,"http://www.danamapan.id",PT Mapan Global Reksa,1/8/2018,Terdaftar,PT,Konvensional,"Jalan Bulungan No 9\nKebayoran Baru Jakarta Selatan 12130\n Telp. (021) 720 40 08"
S-8/NB.11/2018,Aktivaku,"http://www.aktivaku.id",PT Aktivaku Investama Teknologi,1/8/2018,Terdaftar,PT,Konvensional,"Citylofts Sudirman Unit 2825, Jalan KH Mas Mansyur no. 121, Jakarta Pusat, 10220. \nTelp. (021) 255 587 34"
S-26/NB.213/2018,Danakini,"https://danakini.com, https://danakini.co.id",PT Dana Kini Indonesia,2/1/2018,Terdaftar,PT,Konvensional,"Kawan Lama Building, lt 3 Jalan Puri Kencana No.1 , Jakarta Barat, 11610\nTelp (021) 582 91 70"
S-56/NB.213/2018,Finmas,"https://www.finmas.co.id",PT Oriente Mas Sejahtera,2/23/2018,Terdaftar,PT,Konvensional,"Gedung EV-Hive - lantai 3A, Jl. Timor No. 16, Gondangdia, Menteng, Jakarta 10350. \nTelp : (021) 278 996 60"
S-59/NB.213/2018,Rupiah Plus,"https://www.rupiahplus.com",PT Digital Synergy Technology,2/26/2018,Terdaftar,PT,Konvensional,"Grand Slipi Tower Level 9 Unit G, Cekindo Business Centre, Jl. Letjend S. Parman Kav 22-24, Palmerah, Jakarta Barat 11480. \nTelp. (021) 806 796 88"
S-61/NB.213/2018,Tokomodal,"https://www.tokomodal.co.id",PT Toko Modal Mitra Usaha,2/27/2018,Terdaftar,PT,Konvensional,"Gedung Sonatopas Tower Lantai 9\nJl. Jend Sudirman kav 26\nJakarta Selatan – Indonesia\nTelp. : (021) 290 236 88"
S-235/NB.213/2018,Indodana,"http://indodana.id",PT Artha Dana Teknologi,3/20/2018,Terdaftar,PT,Konvensional,"Jl. Daan Mogot No.73, RT.5/RW.1, Tj. Duren Utara, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470\nTelp. (021) 395 000 88"
S-236/NB.213/2018,Kredivo,"https://www.kredivo.id",PT FinAccel Digital Indonesia,3/20/2018,Terdaftar,PT,Konvensional,"Ruko Permata Senayan E-53 No.21, Jl. Tentara Pelajar, RT.1/RW.7, Grogol Utara, Kby. Lama, Daerah Khusus Ibukota Jakarta 12210\nTelp. 0855-7467-9098"
S-237/NB.213/2018,Mekar.id,"https://mekar.id",PT Mekar Investama Sampoerna,3/20/2018,Terdaftar,PT,Konvensional,"Sampoerna Strategic South Tower lantai 18, Jl. Jend Sudirman Kav.45-46 Jakarta Selatan\nTelp. (62-21) 300 22735"
S-256/NB.213/2018,PinjamanGo,"https://www.pinjamango.co.id",PT Dana Pinjaman Inklusif,4/6/2018,Terdaftar,PT,Konvensional,"Sinarmas Land Plaza Tower I, Jl. M.H. Thamrin No.51, RT.9/RW.5, Gondangdia, Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350\nTelp. 0817-6666-855"
S-257/NB.213.2018,iternak.id,"https://iternak.id/",PT Perlu Fintech Indonesia,4/6/2018,Terdaftar,PT,Konvensional,"TAIP SQUARE\nJalan H Taip No. 11-12 Pamulang\nKota Tangerang Selatan, Provinsi Banten\nTelp. (021) 227 443 72"
S-258/NB.213/2018,Kredit Pintar,"http://kreditpintar.co.id",PT Kredit Pintar Indonesia,4/6/2018,Terdaftar,,Konvensional,"ONE WOLTER PLACE Lt. 04 \nJalan Wolter Monginsidi No. 63 RT. 001 RW. 001\nRawa Barat, Kebayoran Baru\nTelp. (021) 296 512 78\nJakarta Selatan DKI Jakarta"
S-265/NB.213/2018,Kredito,"https://kredito.id",PT Fintek Digital Indonesia,4/10/2018,Terdaftar,PT,Konvensional,"Sahid Mini Office 1 Sahid Pikko Sudirman Residence, Jl. Jend. Sudirman No.86, RT.10/RW.11, Karet Tengsin, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220\nTelp. (021) 290 229 52"
S-270/NB.213/2018,Crowde,"https://crowde.co.id",PT Crowde Membangun Bangsa,4/12/2018,Terdaftar,PT,Konvensional,"Jl. Bendengan Sel. No.58\nPejagalan, Penjaringan\nJakarta Utara\nTelp. 0878-8019-8913"
S-272/NB.213/2018,PinjamGampang,"http://www.kreditplusteknologi.id",PT Kredit Plus Teknologi,4/13/2018,Terdaftar,PT,Konvensional,"Unit E, floor 28, The Prominence Office Tower, Jl. Jalur Sutera Barat No.15, Alam Sutera, 15143 Tangerang, Banten Indonesia\nTelp. 0812 9088 5538"
S-278/NB.213/2018,TaniFund,"https://tanifund.id",PT Tanifund Madani Indonesia,4/20/2018,Terdaftar,PT,Konvensional,"Jl. Emesde C, Cipete Sel., Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410\nTelp. (021) 758 101 35"
S-280/NB.213/2018,Danain,"https://www.danain.co.id",PT Mulia Inovasi Digital,4/20/2018,Terdaftar,PT,Konvensional,"Rukan Kirana Boutique Office Blok D2 No.7-8 Jln.Kirana Avenue II Kelapa Gading Timur - Kelapa Gading, Jakarta Utara\nTelp. 0812 8184 9008"
S-282/NB.213/2018,Indofund.id,"https://indofund.id",PT Bursa Akselerasi Indonesia,4/23/2018,Terdaftar,PT,Konvensional,"Satrio Tower Lantai 14 unit 5 \nJalan Prof. DR. Satrio Kav. 1-4 Blok C4 \nKel. Kuningan Timur, Kec. Setiabudi, Jakarta Selatan 12950, Indonesia \nTelp. (021) 259 813 42"
S-290/NB.213/2018,SGPIndonesia,"https://www.sgpindonesia.co.id",PT Semesta Gerakan Persada,4/30/2018,Terdaftar,PT,Konvensional,"Cyber 2 Tower lt. 27, Jl. HR Rasuna Said Blok X-5 No.13, Jakarta Selatan"
S-304/NB.213/2018,KreditPro,"http://kreditpro.id",PT Tri Digi Fin,5/4/2018,Terdaftar,PT,Konvensional,"Prudential Centre - Kota Kasablanka Lt 5 Unit F-G  Jl. Kasablanka Raya Kav 88 Jakarta 12870 \nTelp. (021) 294 755 18"
S-320/NB.213/2018,Avantee,"http://www.avantee.co.id",PT Grha Dana Bersama,5/23/2018,Terdaftar,PT,Konvensional,"ANZ Tower Lt. 16 Jalan Jend. Sudirman Kav. 33A Jakarta Pusat, 10220. \nTelp. (021) 573 23 77"
S-358/NB.213/2018,Do-It,"http://www.do-it.id",PT Glotech Prima Vista,5/23/2018,Terdaftar,PT,Konvensional,"JI. Sungai Gerong No.7, Kb. Melati, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230. \nTelp: (021) 212 317 52"
S-359/NB.213/2018,RupiahCepat,"http://rupiahcepat.co.id",PT Kredit Utama Fintech Indonesia,5/23/2018,Terdaftar,PT,Konvensional,"Jalan Benyamin Suaeb Blok. D7, Gunung Sahari Selatan, Kemayoran, RW.10, Pademangan Timur, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610\nTelp. 0858 2510 0001"
S-380/NB.213/2018,Danarupiah,"http://www.danarupiah.id",PT Layanan Keuangan Berbagi,6/8/2018,Terdaftar,PT,Konvensional,"Kawasan Podomoro City,\nRuko Garden Shopping Arcade B 09 BH, Grogol Petamburan\nJakarta Barat 11470\nTelp. (021) 397 001 00"
S-381/NB.213/2018,Danabijak,"http://danabijak.co.id",PT Digital Micro Indonesia,6/8/2018,Terdaftar,PT,Konvensional,"Gedung Apartemen Citylofts Sudirman Lantai 12 unit 19, Jalan K. H. Mas Mansyur Nomor 121, RT/RW 013/011, Kelurahan Karet Tengsin, Kecamatan Tanah Abang, Kota Administrasi Jakarta Pusat\nTelp. (021) 3049 6181 (Jakarta) / (022) 2130 0426 (Bandung) / (031) 2115 3485 (Surabaya) / 0813 8778 4620 (Whatsapp)"
S-382/NB.213/2018,Cashcepat,"http://cashcepat.id",PT Artha Permata Makmur,6/8/2018,Terdaftar,PT,Konvensional,"Rukan Crown Palace E-03 Jl. Prof. DR. Soepomo No. 231 RT/RW 07/01 Kel. Menteng Dalam Kec. Tebet Kota Administrasi Jakarta Selatan. \nTelp. (021) 837 828 92"
S-383/NB.213/2018,Danalaut,"http://danalaut.id",PT Seva Kreasi Digital,6/8/2018,Terdaftar,PT,Konvensional,"Ruko Emerald, Blok UB 019 Jln. Bulevar Selatan, Summarecon Bekasi, Marga Mulya, Bekasi Utara Bekasi 17142\nTelp. (+62 21) 894 566 76"
S-384/NB.213/2018,Danasyariah,"http://danasyariah.id",PT Dana Syariah Indonesia,6/8/2018,Terdaftar,PT,Syariah,"Gedung Setiabudi Atrium lantai 7 Suite 701A \nJL. H.R. Rasuna Said Kav. 62 \nJakarta Selatan - 12920\nTelp. (021) 521 03 06"
S-385/NB.213/2018,Telefin,"http://telefin.co.id",PT Solusi Finansial Inklusif,6/8/2018,Terdaftar,PT,Konvensional,"Telesindo Tower Lt.11, Jln Gajah Mada No. 27A, Jakarta Barat, Indonesia Jakarta Barat 11140\nTelp. (021) 295 677 77"
S-386/NB.213/2018,Modalrakyat,"http://modalrakyat.id",PT Modal Rakyat Indonesia,6/8/2018,Terdaftar,PT,Konvensional,"Jl. Radio Dalam Raya No. A1, RT.1/RW.4.\nGandaria Utara, Kebayoran Baru, Jakarta Selatan 12140, \nTelp. (021) 7265030"
S-387/NB.213/2018,Kawancicil,"http://kawancicil.co.id",PT Kawan Cicil Teknologi Utama,6/8/2018,Terdaftar,PT,Konvensional,"Gedung Jaya Lantai 6, Jalan MH. Thamrin Nomor 12, Kebon Sirih, Menteng, Jakarta Pusat, DKI Jakarta\nTelp. 0881 80 50 500"
S-388/NB.213/2018,Sanders One Stop Solution,"http://sanders.co.id",PT Satustop Finansial Solusi,6/8/2018,Terdaftar,PT,Konvensional,"Ruko Holis Regency M-20 RT 01 RW 09\nKel. Babakan Kec. Babakan Ciparay\nKota Bandung, Provinsi Jawa Barat\nTelp. (022) 205 744 01"
