Surat Tanda Berizin/Terdaftar,Nama Platform,Website,Nama Perusahaan,Tanggal,Jenis
KEP-49/D.05/2017,Danamas,https://p2p.danamas.co.id,PT Pasar Dana Pinjaman,06 Juli 2017,Berizin
S-1862/NB.111/2017,Koinworks,https://koinworks.com,PT Lunaria Annua Teknologi,04 Mei 2017,Terdaftar
S-2491/NB.111/2017,Amartha,https://amartha.com,PT Amartha Mikro Fintek,31 Mei 2017,Terdaftar
S-2492/NB.111/2017,Investree,https://www.investree.id,PT Investree Radhika Jaya,31 Mei 2017,Terdaftar
S-2493/NB.111/2017,Modalku,https://modalku.co.id,PT Mitrausaha Indonesia Grup,31 Mei 2017,Terdaftar
S-2537/NB.111/2017,Danacepat,http://www.pendanaan.com,PT Pendanaan Teknologi Nusa,02 Juni 2017,Terdaftar
S-2538/NB.111/2017,AwanTunai,https://www.awantunai.com,PT Simplefi Teknologi Indonesia,02 Juni 2017,Terdaftar
S-2793/NB.111/2017,KlikACC,https://klikacc.com,PT Aman Cermat Cepat,15 Juni 2017,Terdaftar
S-2842/NB.111/2017,CROWDO,https://crowdo.co.id,PT Mediator Komunitas Indonesia,16 Juni 2017,Terdaftar
S-2983/NB.111/2017,Akseleran,https://www.akseleran.com,PT Akseleran Keuangan Inklusif Indonesia,21 Juni 2017,Terdaftar
S-2970/NB.111/2017,UangTeman,https://uangteman.com,PT Digital Alpha Indonesia,21 Juni 2017,Terdaftar
S-644/NB.111/2017,Dompet Kilat,https://www.dompetkilat.co.id,PT Indo Fin Tek,21 Juli 2017,Terdaftar
S-622/NB.111/2017,Taralite,https://www.taralite.com,PT Indonusa Bara Sejahtera,21 Juli 2017,Terdaftar
S-3460/NB.111/2017,FINTAG,http://fintag.id,PT Fintegra Homido Indonesia,03 Agustus 2017,Terdaftar
S-3739/NB.111/2017,Invoila,http://invoila.co.id,PT Sol Mitra Fintec,14 Agustus 2017,Terdaftar
S-3972/NB.111/2017,KIMO,http://kimo.co.id,PT Creative Mobile Adventure,23 Agustus 2017,Terdaftar
